Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point,Settlement Point Type,Settlement Point Price
01/01/2013,8,4,N,HB_BUSAVG,SH,21.46
01/01/2013,9,1,N,HB_BUSAVG,SH,21.89
01/01/2013,9,2,N,HB_BUSAVG,SH,21.36
01/01/2013,9,3,N,HB_BUSAVG,SH,22.13
01/01/2013,9,4,N,HB_BUSAVG,SH,22.6
01/01/2013,10,1,N,HB_BUSAVG,SH,22.93
01/01/2013,10,2,N,HB_BUSAVG,SH,23.22
01/01/2013,10,3,N,HB_BUSAVG,SH,23.46
01/01/2013,10,4,N,HB_BUSAVG,SH,23.89
01/01/2013,11,1,N,HB_BUSAVG,SH,24.08
01/01/2013,11,2,N,HB_BUSAVG,SH,24.31
01/01/2013,11,3,N,HB_BUSAVG,SH,24.88
01/01/2013,11,4,N,HB_BUSAVG,SH,25.16
01/01/2013,12,1,N,HB_BUSAVG,SH,25.35
01/01/2013,12,2,N,HB_BUSAVG,SH,25.5
01/01/2013,12,3,N,HB_BUSAVG,SH,25.41
01/01/2013,12,4,N,HB_BUSAVG,SH,25.17
01/01/2013,13,1,N,HB_BUSAVG,SH,25.33
01/01/2013,13,2,N,HB_BUSAVG,SH,25.01
01/01/2013,13,3,N,HB_BUSAVG,SH,24.75
01/01/2013,13,4,N,HB_BUSAVG,SH,24.35
01/01/2013,14,1,N,HB_BUSAVG,SH,24.33
01/01/2013,14,2,N,HB_BUSAVG,SH,24.3
01/01/2013,14,3,N,HB_BUSAVG,SH,24.13
01/01/2013,14,4,N,HB_BUSAVG,SH,24.09
01/01/2013,15,1,N,HB_BUSAVG,SH,24.11
01/01/2013,15,2,N,HB_BUSAVG,SH,24.27
01/01/2013,15,3,N,HB_BUSAVG,SH,24.21
01/01/2013,15,4,N,HB_BUSAVG,SH,24.22
01/01/2013,16,1,N,HB_BUSAVG,SH,24.21
01/01/2013,16,2,N,HB_BUSAVG,SH,24.18
01/01/2013,16,3,N,HB_BUSAVG,SH,24.08
01/01/2013,16,4,N,HB_BUSAVG,SH,24.06
01/01/2013,17,1,N,HB_BUSAVG,SH,24.14
01/01/2013,17,2,N,HB_BUSAVG,SH,24.26
01/01/2013,17,3,N,HB_BUSAVG,SH,24.73
01/01/2013,17,4,N,HB_BUSAVG,SH,24.94
01/01/2013,18,1,N,HB_BUSAVG,SH,26.62
01/01/2013,18,2,N,HB_BUSAVG,SH,32.47
01/01/2013,18,3,N,HB_BUSAVG,SH,68.22
01/01/2013,18,4,N,HB_BUSAVG,SH,64.14
01/01/2013,19,1,N,HB_BUSAVG,SH,38.41
01/01/2013,19,2,N,HB_BUSAVG,SH,38.63
01/01/2013,19,3,N,HB_BUSAVG,SH,36.51
01/01/2013,19,4,N,HB_BUSAVG,SH,34.54
01/01/2013,20,1,N,HB_BUSAVG,SH,33.96
01/01/2013,20,2,N,HB_BUSAVG,SH,33.96
01/01/2013,20,3,N,HB_BUSAVG,SH,34.16
01/01/2013,20,4,N,HB_BUSAVG,SH,34.01
01/01/2013,21,1,N,HB_BUSAVG,SH,34.07
01/01/2013,21,2,N,HB_BUSAVG,SH,33.42
01/01/2013,21,3,N,HB_BUSAVG,SH,33.11
01/01/2013,21,4,N,HB_BUSAVG,SH,32.23
01/01/2013,22,1,N,HB_BUSAVG,SH,30.79
01/01/2013,22,2,N,HB_BUSAVG,SH,30.33
01/01/2013,22,3,N,HB_BUSAVG,SH,30.33
01/01/2013,22,4,N,HB_BUSAVG,SH,28.45
01/01/2013,23,1,N,HB_BUSAVG,SH,28.59
01/01/2013,23,2,N,HB_BUSAVG,SH,27.96
01/01/2013,23,3,N,HB_BUSAVG,SH,25.72
01/01/2013,23,4,N,HB_BUSAVG,SH,24.45
01/01/2013,24,1,N,HB_BUSAVG,SH,25.01
01/01/2013,24,2,N,HB_BUSAVG,SH,24.4
01/01/2013,24,3,N,HB_BUSAVG,SH,24.05
01/01/2013,24,4,N,HB_BUSAVG,SH,23.99
01/01/2014,1,1,N,HB_BUSAVG,SH,25.19
01/01/2014,1,2,N,HB_BUSAVG,SH,24.79
01/01/2014,1,3,N,HB_BUSAVG,SH,24.31
01/01/2014,1,4,N,HB_BUSAVG,SH,24.41
01/01/2014,2,1,N,HB_BUSAVG,SH,24.3
01/01/2014,2,2,N,HB_BUSAVG,SH,24.75
01/01/2014,2,3,N,HB_BUSAVG,SH,24.64
01/01/2014,2,4,N,HB_BUSAVG,SH,24.4
01/01/2014,3,1,N,HB_BUSAVG,SH,24.28
01/01/2014,3,2,N,HB_BUSAVG,SH,24.29
01/01/2014,3,3,N,HB_BUSAVG,SH,24.12
01/01/2014,3,4,N,HB_BUSAVG,SH,24.1
01/01/2014,4,1,N,HB_BUSAVG,SH,24.06
01/01/2014,4,2,N,HB_BUSAVG,SH,23.98
01/01/2014,4,3,N,HB_BUSAVG,SH,24.05
01/01/2014,4,4,N,HB_BUSAVG,SH,24.07
01/01/2014,5,1,N,HB_BUSAVG,SH,24.12
01/01/2014,5,2,N,HB_BUSAVG,SH,24.15
01/01/2014,5,3,N,HB_BUSAVG,SH,24.14
01/01/2014,5,4,N,HB_BUSAVG,SH,24.1
01/01/2014,6,1,N,HB_BUSAVG,SH,24.11
01/01/2014,6,2,N,HB_BUSAVG,SH,24.58
01/01/2014,6,3,N,HB_BUSAVG,SH,24.96
01/01/2014,6,4,N,HB_BUSAVG,SH,24.99
01/01/2014,7,1,N,HB_BUSAVG,SH,24.36
01/01/2014,7,2,N,HB_BUSAVG,SH,24.78
01/01/2014,7,3,N,HB_BUSAVG,SH,25.43
01/01/2014,7,4,N,HB_BUSAVG,SH,25.81
01/01/2014,8,1,N,HB_BUSAVG,SH,25.45
01/01/2014,8,2,N,HB_BUSAVG,SH,25.14
01/01/2014,8,3,N,HB_BUSAVG,SH,24.66
01/01/2014,8,4,N,HB_BUSAVG,SH,24.54
01/01/2014,9,1,N,HB_BUSAVG,SH,24.99
01/01/2014,9,2,N,HB_BUSAVG,SH,24.73
01/01/2014,9,3,N,HB_BUSAVG,SH,24.72
01/01/2014,9,4,N,HB_BUSAVG,SH,25.24
01/01/2014,10,1,N,HB_BUSAVG,SH,25.88
01/01/2014,10,2,N,HB_BUSAVG,SH,26.15
01/01/2014,10,3,N,HB_BUSAVG,SH,26.21
01/01/2014,10,4,N,HB_BUSAVG,SH,26.24
01/01/2014,11,1,N,HB_BUSAVG,SH,26.61
01/01/2014,11,2,N,HB_BUSAVG,SH,26.35
01/01/2014,11,3,N,HB_BUSAVG,SH,26.26
01/01/2014,11,4,N,HB_BUSAVG,SH,26.08
01/01/2014,12,1,N,HB_BUSAVG,SH,25.96
01/01/2014,12,2,N,HB_BUSAVG,SH,25.22
01/01/2014,12,3,N,HB_BUSAVG,SH,24.55
01/01/2014,12,4,N,HB_BUSAVG,SH,24.16
